sLocation,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,W7OTV,146.960000,-,0.600000,Tone,127.3,127.3,023,NN,023,Tone->Tone,FM,5.00,,1.0W,,,,,
2,W7RAT,440.400000,+,5.000000,TSQL,123.0,123.0,023,NN,023,Tone->Tone,FM,25.00,,2.5W,,,,,
3,,146.520000,,0.600000,,127.3,127.3,023,NN,023,Tone->Tone,FM,5.00,,2.5W,,,,,
4,N7EI,224.380000,-,1.600000,Tone,114.8,114.8,023,NN,023,Tone->Tone,FM,20.00,,1.0W,,,,,
5,WB7CRT,444.750000,+,5.000000,Tone,123.0,123.0,023,NN,023,Tone->Tone,FM,25.00,,0.3W,,,,,
6,N7QQU,147.360000,+,0.600000,TSQL,107.2,107.2,023,NN,023,Tone->Tone,FM,5.00,,1.0W,,,,,
7,KF7TTS,440.175000,+,5.000000,TSQL,110.9,110.9,023,NN,023,Tone->Tone,FM,25.00,,1.0W,,,,,
8,KA7OSM,442.525000,+,5.000000,Tone,107.2,107.2,023,NN,023,Tone->Tone,AM,25.00,,1.0W,,,,,
9,WRKT69,462.600000,,5.000000,,100.0,100.0,023,NN,023,Tone->Tone,FM,12.50,,0.3W,,,,,
10,K7RPT,147.120000,+,0.600000,TSQL,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,0.3W,,,,,